,jordkvalitet,kartleggingsmetode,verifiseringsdato,målemetode,nøyaktighet,fylkeid,komid
421,1,J,20190211000000,0,0,42,4204
422,1,J,20190211000000,0,0,42,4204
423,1,J,20190211000000,0,0,42,4204
424,1,J,20190211000000,0,0,42,4204
425,1,J,20190211000000,0,0,42,4204
426,1,J,20190211000000,0,0,42,4204
427,1,J,20190211000000,0,0,42,4204
428,1,J,20190211000000,0,0,42,4204
429,1,J,20190211000000,0,0,42,4204
430,1,J,20190211000000,0,0,42,4204
431,2,J,20190211000000,0,0,42,4204
432,1,J,20190211000000,82,0,42,4204
433,1,J,20190211000000,0,0,42,4204
434,1,J,20190211000000,0,0,42,4204
435,2,J,20190211000000,0,0,42,4204
436,1,J,20190211000000,0,0,42,4204
437,2,J,20190211000000,0,0,42,4204
438,1,J,20190211000000,0,0,42,4204
439,1,J,20190211000000,0,0,42,4204
440,1,J,20190211000000,0,0,42,4204
441,2,J,20190211000000,0,0,42,4204
442,2,J,20190211000000,0,0,42,4204
443,2,J,20190211000000,0,0,42,4204
444,3,J,20190211000000,0,0,42,4204
445,2,J,20190211000000,0,0,42,4204
446,1,J,20190211000000,0,0,42,4204
447,1,J,20190211000000,0,0,42,4204
448,1,J,20190211000000,0,0,42,4204
449,1,J,20190211000000,0,0,42,4204
450,2,J,20190211000000,0,0,42,4204
451,1,J,20190211000000,0,0,42,4204
452,1,J,20190211000000,0,0,42,4204
453,1,J,20190211000000,0,0,42,4204
454,1,J,20190211000000,0,0,42,4204
455,1,J,20190211000000,0,0,42,4204
456,1,J,20190211000000,0,0,42,4204
457,1,J,20190211000000,0,0,42,4204
458,1,J,20190211000000,82,0,42,4204
459,1,J,20190211000000,82,0,42,4204
460,1,J,20190211000000,0,0,42,4204
461,1,J,20190211000000,0,0,42,4204
462,1,J,20190211000000,0,0,42,4204
463,1,J,20190211000000,0,0,42,4204
464,1,J,20190211000000,0,0,42,4204
465,1,J,20190211000000,0,0,42,4204
466,1,J,20190211000000,0,0,42,4204
467,1,J,20190211000000,0,0,42,4204
468,1,J,20190211000000,0,0,42,4204
469,1,J,20190211000000,0,0,42,4204
470,1,J,20190211000000,82,0,42,4204
471,1,J,20190211000000,0,0,42,4204
472,2,J,20190211000000,82,0,42,4204
